Training data torch.Size([100000, 2])
MLP with one hidden layer, 3 perceptrons, L2 loss, SGD optimizer, no dropout, 10 epochs.
Test accuracy before: 0.49655
Epoch (1, 2), loss = 0.49, validation accuracy = 0.5
Epoch (2, 2), loss = 0.49, validation accuracy = 0.5
Epoch (3, 2), loss = 0.49, validation accuracy = 0.5
Epoch (4, 2), loss = 0.49, validation accuracy = 0.5
Epoch (5, 2), loss = 0.489, validation accuracy = 0.5
Epoch (6, 2), loss = 0.489, validation accuracy = 0.5
Epoch (7, 2), loss = 0.489, validation accuracy = 0.5
Epoch (8, 2), loss = 0.489, validation accuracy = 0.5
Epoch (9, 2), loss = 0.488, validation accuracy = 0.5
Epoch (10, 2), loss = 0.488, validation accuracy = 0.5
Test accuracy after: 0.49805
MLP with one hidden layer, 3 perceptrons, L2 loss, SGD optimizer, no dropout, 500 epochs.
Test accuracy before: 0.51825
Epoch (1, 2), loss = 0.456, validation accuracy = 0.52
Epoch (2, 2), loss = 0.456, validation accuracy = 0.52
Epoch (3, 2), loss = 0.456, validation accuracy = 0.52
Epoch (4, 2), loss = 0.456, validation accuracy = 0.52
Epoch (5, 2), loss = 0.455, validation accuracy = 0.52
Epoch (6, 2), loss = 0.455, validation accuracy = 0.52
Epoch (7, 2), loss = 0.455, validation accuracy = 0.52
Epoch (8, 2), loss = 0.455, validation accuracy = 0.52
Epoch (9, 2), loss = 0.455, validation accuracy = 0.52
Epoch (10, 2), loss = 0.455, validation accuracy = 0.52
Epoch (11, 2), loss = 0.455, validation accuracy = 0.52
Epoch (12, 2), loss = 0.455, validation accuracy = 0.52
Epoch (13, 2), loss = 0.455, validation accuracy = 0.52
Epoch (14, 2), loss = 0.455, validation accuracy = 0.52
Epoch (15, 2), loss = 0.455, validation accuracy = 0.52
Epoch (16, 2), loss = 0.455, validation accuracy = 0.52
Epoch (17, 2), loss = 0.455, validation accuracy = 0.52
Epoch (18, 2), loss = 0.455, validation accuracy = 0.52
Epoch (19, 2), loss = 0.455, validation accuracy = 0.52
Epoch (20, 2), loss = 0.455, validation accuracy = 0.52
Epoch (21, 2), loss = 0.455, validation accuracy = 0.52
Epoch (22, 2), loss = 0.455, validation accuracy = 0.52
Epoch (23, 2), loss = 0.455, validation accuracy = 0.52
Epoch (24, 2), loss = 0.455, validation accuracy = 0.52
Epoch (25, 2), loss = 0.455, validation accuracy = 0.52
Epoch (26, 2), loss = 0.455, validation accuracy = 0.52
Epoch (27, 2), loss = 0.455, validation accuracy = 0.52
Epoch (28, 2), loss = 0.454, validation accuracy = 0.52
Epoch (29, 2), loss = 0.454, validation accuracy = 0.52
Epoch (30, 2), loss = 0.454, validation accuracy = 0.52
Epoch (31, 2), loss = 0.454, validation accuracy = 0.52
Epoch (32, 2), loss = 0.454, validation accuracy = 0.52
Epoch (33, 2), loss = 0.454, validation accuracy = 0.52
Epoch (34, 2), loss = 0.454, validation accuracy = 0.52
Epoch (35, 2), loss = 0.454, validation accuracy = 0.52
Epoch (36, 2), loss = 0.454, validation accuracy = 0.52
Epoch (37, 2), loss = 0.454, validation accuracy = 0.52
Epoch (38, 2), loss = 0.454, validation accuracy = 0.52
Epoch (39, 2), loss = 0.454, validation accuracy = 0.52
Epoch (40, 2), loss = 0.454, validation accuracy = 0.52
Epoch (41, 2), loss = 0.454, validation accuracy = 0.52
Epoch (42, 2), loss = 0.454, validation accuracy = 0.52
Epoch (43, 2), loss = 0.454, validation accuracy = 0.52
Epoch (44, 2), loss = 0.454, validation accuracy = 0.52
Epoch (45, 2), loss = 0.454, validation accuracy = 0.52
Epoch (46, 2), loss = 0.454, validation accuracy = 0.52
Epoch (47, 2), loss = 0.454, validation accuracy = 0.52
Epoch (48, 2), loss = 0.454, validation accuracy = 0.52
Epoch (49, 2), loss = 0.454, validation accuracy = 0.52
Epoch (50, 2), loss = 0.454, validation accuracy = 0.52
Epoch (51, 2), loss = 0.454, validation accuracy = 0.52
Epoch (52, 2), loss = 0.453, validation accuracy = 0.52
Epoch (53, 2), loss = 0.453, validation accuracy = 0.52
Epoch (54, 2), loss = 0.453, validation accuracy = 0.52
Epoch (55, 2), loss = 0.453, validation accuracy = 0.52
Epoch (56, 2), loss = 0.453, validation accuracy = 0.52
Epoch (57, 2), loss = 0.453, validation accuracy = 0.52
Epoch (58, 2), loss = 0.453, validation accuracy = 0.52
Epoch (59, 2), loss = 0.453, validation accuracy = 0.52
Epoch (60, 2), loss = 0.453, validation accuracy = 0.52
Epoch (61, 2), loss = 0.453, validation accuracy = 0.52
Epoch (62, 2), loss = 0.453, validation accuracy = 0.52
Epoch (63, 2), loss = 0.453, validation accuracy = 0.52
Epoch (64, 2), loss = 0.453, validation accuracy = 0.52
Epoch (65, 2), loss = 0.453, validation accuracy = 0.52
Epoch (66, 2), loss = 0.453, validation accuracy = 0.52
Epoch (67, 2), loss = 0.453, validation accuracy = 0.52
Epoch (68, 2), loss = 0.453, validation accuracy = 0.52
Epoch (69, 2), loss = 0.453, validation accuracy = 0.52
Epoch (70, 2), loss = 0.453, validation accuracy = 0.52
Epoch (71, 2), loss = 0.453, validation accuracy = 0.52
Epoch (72, 2), loss = 0.453, validation accuracy = 0.52
Epoch (73, 2), loss = 0.453, validation accuracy = 0.52
Epoch (74, 2), loss = 0.453, validation accuracy = 0.52
Epoch (75, 2), loss = 0.452, validation accuracy = 0.52
Epoch (76, 2), loss = 0.452, validation accuracy = 0.52
Epoch (77, 2), loss = 0.452, validation accuracy = 0.52
Epoch (78, 2), loss = 0.452, validation accuracy = 0.52
Epoch (79, 2), loss = 0.452, validation accuracy = 0.52
Epoch (80, 2), loss = 0.452, validation accuracy = 0.52
Epoch (81, 2), loss = 0.452, validation accuracy = 0.52
Epoch (82, 2), loss = 0.452, validation accuracy = 0.52
Epoch (83, 2), loss = 0.452, validation accuracy = 0.52
Epoch (84, 2), loss = 0.452, validation accuracy = 0.52
Epoch (85, 2), loss = 0.452, validation accuracy = 0.52
Epoch (86, 2), loss = 0.452, validation accuracy = 0.52
Epoch (87, 2), loss = 0.452, validation accuracy = 0.52
Epoch (88, 2), loss = 0.452, validation accuracy = 0.52
Epoch (89, 2), loss = 0.452, validation accuracy = 0.52
Epoch (90, 2), loss = 0.452, validation accuracy = 0.52
Epoch (91, 2), loss = 0.452, validation accuracy = 0.52
Epoch (92, 2), loss = 0.452, validation accuracy = 0.52
Epoch (93, 2), loss = 0.452, validation accuracy = 0.52
Epoch (94, 2), loss = 0.452, validation accuracy = 0.52
Epoch (95, 2), loss = 0.452, validation accuracy = 0.52
Epoch (96, 2), loss = 0.452, validation accuracy = 0.52
Epoch (97, 2), loss = 0.452, validation accuracy = 0.52
Epoch (98, 2), loss = 0.452, validation accuracy = 0.52
Epoch (99, 2), loss = 0.451, validation accuracy = 0.52
Epoch (100, 2), loss = 0.451, validation accuracy = 0.52
Epoch (101, 2), loss = 0.451, validation accuracy = 0.52
Epoch (102, 2), loss = 0.451, validation accuracy = 0.52
Epoch (103, 2), loss = 0.451, validation accuracy = 0.52
Epoch (104, 2), loss = 0.451, validation accuracy = 0.52
Epoch (105, 2), loss = 0.451, validation accuracy = 0.52
Epoch (106, 2), loss = 0.451, validation accuracy = 0.52
Epoch (107, 2), loss = 0.451, validation accuracy = 0.52
Epoch (108, 2), loss = 0.451, validation accuracy = 0.52
Epoch (109, 2), loss = 0.451, validation accuracy = 0.52
Epoch (110, 2), loss = 0.451, validation accuracy = 0.52
Epoch (111, 2), loss = 0.451, validation accuracy = 0.52
Epoch (112, 2), loss = 0.451, validation accuracy = 0.52
Epoch (113, 2), loss = 0.451, validation accuracy = 0.52
Epoch (114, 2), loss = 0.451, validation accuracy = 0.52
Epoch (115, 2), loss = 0.451, validation accuracy = 0.52
Epoch (116, 2), loss = 0.451, validation accuracy = 0.52
Epoch (117, 2), loss = 0.451, validation accuracy = 0.52
Epoch (118, 2), loss = 0.451, validation accuracy = 0.52
Epoch (119, 2), loss = 0.451, validation accuracy = 0.52
Epoch (120, 2), loss = 0.451, validation accuracy = 0.52
Epoch (121, 2), loss = 0.45, validation accuracy = 0.52
Epoch (122, 2), loss = 0.45, validation accuracy = 0.52
Epoch (123, 2), loss = 0.45, validation accuracy = 0.52
Epoch (124, 2), loss = 0.45, validation accuracy = 0.52
Epoch (125, 2), loss = 0.45, validation accuracy = 0.52
Epoch (126, 2), loss = 0.45, validation accuracy = 0.52
Epoch (127, 2), loss = 0.45, validation accuracy = 0.52
Epoch (128, 2), loss = 0.45, validation accuracy = 0.52
Epoch (129, 2), loss = 0.45, validation accuracy = 0.52
Epoch (130, 2), loss = 0.45, validation accuracy = 0.52
Epoch (131, 2), loss = 0.45, validation accuracy = 0.52
Epoch (132, 2), loss = 0.45, validation accuracy = 0.52
Epoch (133, 2), loss = 0.45, validation accuracy = 0.52
Epoch (134, 2), loss = 0.45, validation accuracy = 0.52
Epoch (135, 2), loss = 0.45, validation accuracy = 0.52
Epoch (136, 2), loss = 0.45, validation accuracy = 0.52
Epoch (137, 2), loss = 0.45, validation accuracy = 0.52
Epoch (138, 2), loss = 0.45, validation accuracy = 0.52
Epoch (139, 2), loss = 0.45, validation accuracy = 0.52
Epoch (140, 2), loss = 0.45, validation accuracy = 0.52
Epoch (141, 2), loss = 0.45, validation accuracy = 0.52
Epoch (142, 2), loss = 0.45, validation accuracy = 0.52
Epoch (143, 2), loss = 0.45, validation accuracy = 0.52
Epoch (144, 2), loss = 0.449, validation accuracy = 0.52
Epoch (145, 2), loss = 0.449, validation accuracy = 0.52
Epoch (146, 2), loss = 0.449, validation accuracy = 0.52
Epoch (147, 2), loss = 0.449, validation accuracy = 0.52
Epoch (148, 2), loss = 0.449, validation accuracy = 0.52
Epoch (149, 2), loss = 0.449, validation accuracy = 0.52
Epoch (150, 2), loss = 0.449, validation accuracy = 0.52
Epoch (151, 2), loss = 0.449, validation accuracy = 0.52
Epoch (152, 2), loss = 0.449, validation accuracy = 0.52
Epoch (153, 2), loss = 0.449, validation accuracy = 0.52
Epoch (154, 2), loss = 0.449, validation accuracy = 0.52
Epoch (155, 2), loss = 0.449, validation accuracy = 0.52
Epoch (156, 2), loss = 0.449, validation accuracy = 0.52
Epoch (157, 2), loss = 0.449, validation accuracy = 0.52
Epoch (158, 2), loss = 0.449, validation accuracy = 0.52
Epoch (159, 2), loss = 0.449, validation accuracy = 0.52
Epoch (160, 2), loss = 0.449, validation accuracy = 0.52
Epoch (161, 2), loss = 0.449, validation accuracy = 0.52
Epoch (162, 2), loss = 0.449, validation accuracy = 0.52
Epoch (163, 2), loss = 0.449, validation accuracy = 0.52
Epoch (164, 2), loss = 0.449, validation accuracy = 0.52
Epoch (165, 2), loss = 0.449, validation accuracy = 0.52
Epoch (166, 2), loss = 0.448, validation accuracy = 0.52
Epoch (167, 2), loss = 0.448, validation accuracy = 0.52
Epoch (168, 2), loss = 0.448, validation accuracy = 0.52
Epoch (169, 2), loss = 0.448, validation accuracy = 0.52
Epoch (170, 2), loss = 0.448, validation accuracy = 0.52
Epoch (171, 2), loss = 0.448, validation accuracy = 0.52
Epoch (172, 2), loss = 0.448, validation accuracy = 0.52
Epoch (173, 2), loss = 0.448, validation accuracy = 0.52
Epoch (174, 2), loss = 0.448, validation accuracy = 0.52
Epoch (175, 2), loss = 0.448, validation accuracy = 0.52
Epoch (176, 2), loss = 0.448, validation accuracy = 0.52
Epoch (177, 2), loss = 0.448, validation accuracy = 0.52
Epoch (178, 2), loss = 0.448, validation accuracy = 0.52
Epoch (179, 2), loss = 0.448, validation accuracy = 0.52
Epoch (180, 2), loss = 0.448, validation accuracy = 0.52
Epoch (181, 2), loss = 0.448, validation accuracy = 0.52
Epoch (182, 2), loss = 0.448, validation accuracy = 0.52
Epoch (183, 2), loss = 0.448, validation accuracy = 0.52
Epoch (184, 2), loss = 0.448, validation accuracy = 0.52
Epoch (185, 2), loss = 0.448, validation accuracy = 0.52
Epoch (186, 2), loss = 0.448, validation accuracy = 0.52
Epoch (187, 2), loss = 0.448, validation accuracy = 0.52
Epoch (188, 2), loss = 0.447, validation accuracy = 0.52
Epoch (189, 2), loss = 0.447, validation accuracy = 0.52
Epoch (190, 2), loss = 0.447, validation accuracy = 0.52
Epoch (191, 2), loss = 0.447, validation accuracy = 0.52
Epoch (192, 2), loss = 0.447, validation accuracy = 0.52
Epoch (193, 2), loss = 0.447, validation accuracy = 0.52
Epoch (194, 2), loss = 0.447, validation accuracy = 0.52
Epoch (195, 2), loss = 0.447, validation accuracy = 0.52
Epoch (196, 2), loss = 0.447, validation accuracy = 0.52
Epoch (197, 2), loss = 0.447, validation accuracy = 0.52
Epoch (198, 2), loss = 0.447, validation accuracy = 0.52
Epoch (199, 2), loss = 0.447, validation accuracy = 0.52
Epoch (200, 2), loss = 0.447, validation accuracy = 0.52
